Sample #	Bacteria	Treatment	Experiment	Group
MAE694	cl69	flg22plus	e3	cl69.flg22plus
MAE695	cl69	flg22plus	e3	cl69.flg22plus
MAE696	cl69	flg22plus	e3	cl69.flg22plus
MAE697	e.coli	flg22minus	e3	e.coli.flg22minus
MAE698	e.coli	flg22minus	e3	e.coli.flg22minus
MAE699	e.coli	flg22minus	e3	e.coli.flg22minus
MAE700	e.coli	flg22plus	e3	e.coli.flg22plus
MAE701	e.coli	flg22plus	e3	e.coli.flg22plus
MAE702	e.coli	flg22plus	e3	e.coli.flg22plus
MAE703	nb	flg22minus	e3	nb.flg22minus
MAE704	nb	flg22minus	e3	nb.flg22minus
MAE705	nb	flg22minus	e3	nb.flg22minus
MAE706	nb	flg22plus	e3	nb.flg22plus
MAE707	nb	flg22plus	e3	nb.flg22plus
MAE708	nb	flg22plus	e3	nb.flg22plus
MAE709	syncom	flg22minus	e3	syncom.flg22minus
MAE710	syncom	flg22minus	e3	syncom.flg22minus
MAE711	syncom	flg22minus	e3	syncom.flg22minus
MAE712	syncom	flg22plus	e3	syncom.flg22plus
MAE713	syncom	flg22plus	e3	syncom.flg22plus
MAE714	syncom	flg22plus	e3	syncom.flg22plus
MAE715	Hksyncom	flg22minus	e3	Hksyncom.flg22minus
MAE716	Hksyncom	flg22minus	e3	Hksyncom.flg22minus
MAE717	Hksyncom	flg22minus	e3	Hksyncom.flg22minus
MAE718	Hksyncom	flg22plus	e3	Hksyncom.flg22plus
MAE719	Hksyncom	flg22plus	e3	Hksyncom.flg22plus
MAE720	Hksyncom	flg22plus	e3	Hksyncom.flg22plus
